"BRC_NAMES","BRC_NUMBER","AMALG_BRC_NAME","AMALG_BRC_CODE","GROWTH_FORM"
"Brachythecium rivulare",82080,"Brachythecium rivulare",82080,"b"
"Brachythecium rutabulum",82081,"Brachythecium rutabulum",82081,"b"
"Brachythecium sp.",8201103,"Brachythecium sp.",8201103,"b"
"Brachythecium velutinum",82084,"Brachythecium velutinum",82084,"b"
"Brassica napus",920251,"Brassica napus",920251,"f"
"Brassica oleracea (cultivated)",920253,"Brassica oleracea (cultivated)",920253,"f"
"Brassica rapa",920254,"Brassica rapa",920254,"f"
"Breutelia chrysocoma",82085,"Breutelia chrysocoma",82085,"b"
"Briza media",920256,"Briza media",920256,"g"
"Bromopsis benekenii",920259,"Bromopsis benekenii",920259,"g"
"Bromopsis erecta",920263,"Bromopsis erecta",920263,"g"
"Bromopsis ramosa",920272,"Bromopsis ramosa",920272,"g"
"Bromus hordeaceus",920269,"Bromus hordeaceus",920269,"g"
"Bromus racemosus",920271,"Bromus racemosus",920271,"g"
"Bromus sp.",9204752,"Bromus sp.",9204752,"g"
"Bryonia dioica",920276,"Bryonia dioica",920276,"f"
"Bryophyte sp.",2500,"Bryophyte sp.",2500,"b"
"Bryophyte species A",200001699,"Bryophyte species A",200001699,"b"
"Bryophyte species B",200001700,"Bryophyte species B",200001700,"b"
"Bryophyte species C",200001707,"Bryophyte species C",200001707,"b"
"Bryum capillare",82094,"Bryum capillare",82094,"b"
"Bryum capillaris",8201106,"Bryum capillaris",8201106,"b"
"Bryum pseudotriquetrum",820113,"Bryum pseudotriquetrum",820113,"b"
"Bryum sp.",8201106,"Bryum sp.",8201106,"b"
"Buddleja davidii",920277,"Buddleja davidii",920277,"w"
"Calamagrostis epigejos",920293,"Calamagrostis epigejos",920293,"g"
"Calliergon cuspidatum",8204,"Calliergon cuspidatum",8204,"b"
"Calliergon giganteum",8205,"Calliergon giganteum",8205,"b"
"Calliergon sp",20000861,"Calliergon sp",20000861,"b"
"Calliergon stramineum",8207,"Calliergon stramineum",8207,"b"
"Callitriche seedling/sp",9202249,"Callitriche seedling/sp",9202249,"f"
"Callitriche stagnalis",920307.2,"Callitriche seedling/sp",9202249,"f"
"Callitriche stagnalis s.l.",920307,"Callitriche seedling/sp",9202249,"f"
"Callitriche stagnalis sens.lat.",920307,"Callitriche seedling/sp",9202249,"f"
"Calluna vulgaris",920309,"Calluna vulgaris",920309,"w"
"Caltha palustris",920310,"Caltha palustris",920310,"f"
"Calypogeia arguta",810705,"Calypogeia arguta",810705,"b"
"Calypogeia fissa",810706,"Calypogeia fissa",810706,"b"
"Calypogeia muelleriana",810707,"Calypogeia muelleriana",810707,"b"
"Calypogeia sp",200001087,"Calypogeia sp",200001087,"b"
"Calystegia sepium",920311,"Calystegia sepium",920311,"f"
"Calystegia sp.",200001581,"Calystegia sp.",200001581,"f"
"Campanula glomerata",920315,"Campanula glomerata",920315,"f"
"Campanula latifolia",920316,"Campanula latifolia",920316,"f"
"Campanula rotundifolia",920322,"Campanula rotundifolia",920322,"f"
"Campanula trachelium",920323,"Campanula trachelium",920323,"f"
"Campylium stellatum",8201078,"Campylium stellatum",8201078,"b"
"Campylopus atrovirens",820137,"Campylopus atrovirens",820137,"b"
"Campylopus fragilis",820140,"Campylopus fragilis",820140,"b"
"Campylopus introflexus",820141,"Campylopus introflexus",820141,"b"
"Campylopus paradoxus",820139,"Campylopus paradoxus",820139,"b"
"Campylopus pyriformis",820142,"Campylopus pyriformis",820142,"b"
"Campylopus pyriformis/flexuosa",20000492,"Campylopus pyriformis/flexuosa",20000492,"b"
"Campylopus sp.",8201110,"Campylopus sp.",8201110,"b"
"Capsella bursa-pastoris",920325,"Capsella bursa-pastoris",920325,"f"
"Cardamine amara",920327,"Cardamine amara",920327,"f"
"Cardamine flexuosa",920328,"Cardamine hirsuta/flexuosa",2000070,"f"
"Cardamine hirsuta",920329,"Cardamine hirsuta/flexuosa",2000070,"f"
"Cardamine hirsuta/flexuosa",2000070,"Cardamine hirsuta/flexuosa",2000070,"f"
"Cardamine impatiens",920330,"Cardamine impatiens",920330,"f"
"Cardamine pratensis",920331,"Cardamine pratensis",920331,"f"
"Cardamine sp.",9204771,"Cardamine sp.",9204771,"f"
"Carduus crispus",920335,"Carduus crispus",920335,"f"
"Carex acuta",920340,"Carex acuta",920340,"s"
"Carex acutiformis",920341,"Carex acutiformis",920341,"s"
"Carex bigelowii",920349,"Carex bigelowii",920349,"s"
"Carex binervis",920350,"Carex binervis",920350,"s"
"Carex caryophyllea",920355,"Carex caryophyllea",920355,"s"
"Carex curta",920359,"Carex curta",920359,"s"
"Carex digitata",920364,"Carex digitata",920364,"s"
"Carex dioica",920365,"Carex dioica",920365,"s"
"Carex distans",920366,"Carex distans",920366,"s"
"Carex echinata",920370,"Carex echinata",920370,"s"
"Carex flacca",920376,"Carex flacca",920376,"s"
"Carex hirta",920381,"Carex hirta",920381,"s"
"Carex hostiana",920382,"Carex hostiana",920382,"s"
"Carex laevigata",920385,"Carex laevigata",920385,"s"
"Carex lasiocarpa",920386,"Carex lasiocarpa",920386,"s"
"Carex nigra",920393,"Carex nigra",920393,"s"
"Carex otrubae",920396,"Carex otrubae",920396,"s"
"Carex ovalis",920397,"Carex ovalis",920397,"s"
"Carex pallescens",920399,"Carex pallescens",920399,"s"
"Carex panicea",920400,"Carex panicea",920400,"s"
"Carex paniculata",920401,"Carex paniculata",920401,"s"
"Carex pauciflora",920402,"Carex pauciflora",920402,"s"
"Carex pendula",920404,"Carex pendula",920404,"s"
"Carex pilulifera",920405,"Carex pilulifera",920405,"s"
"Carex pseudocyperus",920407,"Carex pseudocyperus",920407,"s"
"Carex pulicaris",920408,"Carex pulicaris",920408,"s"
"Carex pulicaris/serotina",2000087,"Carex pulicaris",920408,"s"
"Carex remota",920412,"Carex remota",920412,"s"
"Carex riparia",920413,"Carex riparia",920413,"s"
"Carex rostrata",920414,"Carex rostrata",920414,"s"
"Carex seedling/sp",9204583,"Carex seedling/sp",9204583,"s"
"Carex strigosa",920420,"Carex strigosa",920420,"s"
